Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak
16 January 1994,3,"\I Miss You\""""",Haddaway,9,16 January 1994,1
16 January 1994,1,"\Here I Stand\""""",Bitty McLean,10,16 January 1994,1
23 January 1994,8,"\Breathe Again\""""",Toni Braxton,2,30 January 1994,2
23 January 1994,1,"\In Your Room\""""",Depeche Mode,8,23 January 1994,1
23 January 1994,8,"\Return to Innocence\""""",Enigma,3,6 February 1994,2
30 January 1994,4,"\The Power of Love\""""",Céline Dion,4,6 February 1994,1
30 January 1994,1,"\Give It Away\""""",Red Hot Chili Peppers,9,30 January 1994,1
6 February 1994,2,"\A Deeper Love\""""",Aretha Franklin featuring Lisa Fischer,5,6 February 1994,1
6 February 1994,1,"\Come In Out of the Rain\""""",Wendy Moten,8,6 February 1994,1
6 February 1994,11,"\I Like to Move It\""""",Reel 2 Real featuring The Mad Stuntman,5,27 March 1994,1
6 February 1994,1,"\Sweet Lullaby\""""",Deep Forest,10,6 February 1994,1
13 February 1994,8,"\Without You\"" (#6)""",Mariah Carey,1,13 February 1994,4
13 February 1994,3,"\Move on Baby\""""",Cappella,7,13 February 1994,1
