Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak,Dummy_Col_1,Extra_Data_2,Unused_3
4 September 1994,3,"\Confide in Me\""""",Kylie Minogue,2,4 September 1994,1,tXIId,812,
4 September 1994,6,"\The Rhythm of the Night\""""",Corona,2,18 September 1994,2,GZuHGgv,631,
11 September 1994,10,"\Saturday Night\"" (#2)""",Whigfield,1,11 September 1994,4,sLwqw,836,
11 September 1994,4,"\Endless Love\""""",Luther Vandross and Mariah Carey,3,11 September 1994,2,wCpaJ,717,
11 September 1994,2,\What's the Frequency," Kenneth\""""",R.E.M.,9,11 September 1994,JAsDx,902,
11 September 1994,3,"\Incredible\""""",M-Beat featuring General Levy,8,18 September 1994,1,AwrlG,705,
18 September 1994,11,"\Always\"" (#7)""",Bon Jovi,2,2 October 1994,3,ZMvpktGD,4,
25 September 1994,6,"\Hey Now (Girls Just Want to Have Fun)\""""",Cyndi Lauper,4,2 October 1994,1,xVHzD,405,
25 September 1994,6,"\Stay (I Missed You)\""""",Lisa Loeb and Nine Stories,6,25 September 1994,1,qzeyNqnT,831,
25 September 1994,3,"\Steam\""""",East 17,7,25 September 1994,2,gEGlFr,625,
2 October 1994,2,"\Secret\""""",Madonna,5,2 October 1994,1,WXqMt,671,
2 October 1994,10,"\Baby Come Back\"" (#4)""",Pato Banton featuring Ali and Robin Campbell,1,23 October 1994,4,svnsnbI,82,
2 October 1994,6,"\Sweetness\""""",Michelle Gayle,4,30 October 1994,1,ZZBBgWce,105,
