Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak,Noise_Field_1,Dummy_Col_2,Random_Column_3
3 October 1993,14,"\I'd Do Anything for Love\"" ‡ (#1)""",Meat Loaf,1,17 October 1993,7,nchQdW,uzUbla,AUAPqs
28 November 1993,7,"\Mr Blobby\"" ‡ (#6)""",Mr Blobby,1,5 December 1993,3,pVpLgD,HyvvAopA,kKDMFNj
5 December 1993,6,"\For Whom the Bell Tolls\"" ‡""",The Bee Gees,4,19 December 1993,2,WpVGE,KuLrR,CS6Eu
5 December 1993,7,"\It's Alright\""""",East 17,3,9 January 1994,1,CAJKJgtM,wFhsYiiG,tMl3kD3d
12 December 1993,5,"\Babe\"" ‡""",Take That,1,12 December 1993,1,vXbjcb,WydgeL,WlzcN
12 December 1993,7,"\Twist and Shout\""""",Chaka Demus & Pliers featuring Jack Radics and Taxi Gang,1,2 January 1994,2,HjuTG,SbSRCE,4z4HRqa
12 December 1993,5,"\The Perfect Year\""""",Dina Carroll,5,2 January 1994,1,egEatF,livep,NxpBRh
19 December 1993,3,"\Bat Out of Hell\"" ‡""",Meat Loaf,8,19 December 1993,2,Wnjfj,JmmldeS,zNayyJv
26 December 1993,7,"\Come Baby Come\""""",K7,3,16 January 1994,2,xvySQkBw,AeVBL,oZCRLp
2 January 1994,9,"\Things Can Only Get Better\"" (#9)""",D:Ream,1,16 January 1994,4,Nwebp,RgRvuxG,tddiD9gC
9 January 1994,4,"\Anything\""""",Culture Beat,5,9 January 1994,2,uuselDt,eNMaIL,eQgBiZ
9 January 1994,8,"\All for Love\""""","Bryan Adams, Rod Stewart and Sting",2,23 January 1994,1,OYpHm,IkKFXnHg,FQr1XGg
16 January 1994,3,"\Cornflake Girl\""""",Tori Amos,4,23 January 1994,1,FiwfUDQu,hkrWtGv,NggQi3
16 January 1994,1,"\Save Our Love\""""",Eternal,8,16 January 1994,1,mCYdT,VTDGer,w2Wx9
