Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak,Random_Column_1,Irrelevant_2,Random_Column_3
20 November 1994,7,"\Crocodile Shoes\""""",Jimmy Nail,4,4 December 1994,1,m58YPz,pGGJW,Uhxnx
20 November 1994,1,"\Spin the Black Circle\""""",Pearl Jam,10,20 November 1994,1,rzzpE,A9woV8K,e5I0N52d
27 November 1994,2,"\Love Spreads\""""",The Stone Roses,2,27 November 1994,1,99b8pM,M2ice,H8XVWxKm
27 November 1994,8,"\Stay Another Day\"" (#3)""",East 17,1,4 December 1994,5,hW318P,Miis5P9Z,7eyiB
4 December 1994,5,"\All I Want for Christmas Is You\""""",Mariah Carey,2,11 December 1994,3,YkF7F0,wv3br8Hh,ZO7yv2
11 December 1994,3,"\Power Rangers: The Official Single\""""",The Mighty RAW,3,11 December,1,D6ZSH8vv,xRC26b,xSVkor9
4 December 1994,17,"\Think Twice\"" ♦""",Celine Dion,1,29 January 1995,7,ZHVUVbSo,2odX4huR,c4ujau
4 December 1994,8,"\Love Me for a Reason\"" ♦""",Boyzone,2,1 January 1995,1,mdVDYt,OHTqd,S31DgY
11 December 1994,2,"\Please Come Home for Christmas\""""",Bon Jovi,7,11 December 1994,1,ZExd4O6,Sv4hsdOX,rPTXD
11 December 1994,2,"\Another Day\"" ♦""",Whigfield,7,1 January 1995,1,4GhTl1GX,TDDyti,0rIJEoN
18 December 1994,10,"\Cotton Eye Joe\"" ♦""",Rednex,1,8 January 1995,3,3Toyc0,ITNQVbQq,iJ6CN
18 December 1994,4,\Them Girls," Them Girls\"" ♦""",Zig and Zag,5,1 January 1995,HqzC316,LhLWM,rDc3oT
25 December 1994,4,"\Whatever\""""",Oasis,3,25 December 1994,1,hC1cgtB,DStkn7U8,b8mRP
