Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak,Extra_Data_1,Filler_2,Dummy_Col_3
20 March 1994,2,"\Shine On\""""",Degrees of Motion featuring Biti,8,27 March 1994,1,45,IuucIQ,PoqPU
20 March 1994,2,"\Dry County\""""",Bon Jovi,9,27 March 1994,1,594,UPoNmStT,jumDFqS
27 March 1994,3,"\I'll Remember\""""",Madonna,7,3 April 1994,1,75,LflGfM,QedyOV
3 April 1994,4,"\Everything Changes\""""",Take That,1,3 April 1994,2,48,jvShjWnn,jgbfHA
3 April 1994,6,"\The Most Beautiful Girl in the World\""""",Prince,1,17 April 1994,2,202,ShSue,JKJfox
10 April 1994,6,"\The Real Thing\""""",Tony Di Bart,1,1 May 1994,1,987,coLIp,aTIsZOjf
10 April 1994,2,"\Rock My Heart\""""",Haddaway,9,10 April 1994,2,201,tMoRb,hgLoUD
17 April 1994,4,"\Always\""""",Erasure,4,17 April 1994,2,465,VrtFz,pQdwgUDH
17 April 1994,5,"\Mmm Mmm Mmm Mmm\""""",Crash Test Dummies,2,24 April 1994,1,52,aGHZW,cujuqsxT
17 April 1994,3,"\Dedicated to the One I Love\""""",Bitty McLean,6,24 April 1994,1,371,AijxLW,xnazINmM
24 April 1994,6,"\Sweets for My Sweet\""""",C.J. Lewis,3,1 May 1994,1,162,QXbRXW,QlxMfi
24 April 1994,1,"\I'll Stand by You\""""",The Pretenders,10,24 April 1994,1,389,FgNEID,orNAqWHb
1 May 1994,6,"\Inside\""""",Stiltskin,1,8 May 1994,1,202,tcoFgU,kCeYDmQ
