Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak
5 June 1994,1,"\Since I Don't Have You\""""",Guns N Roses,10,5 June 1994,1
12 June 1994,3,"\Don't Turn Around\""""",Ace of Base,5,19 June 1994,1
12 June 1994,8,"\Swamp Thing\""""",The Grid,3,26 June 1994,1
12 June 1994,2,"\Anytime You Need a Friend\""""",Mariah Carey,8,19 June 1994,1
19 June 1994,12,"\I Swear\"" (#5)""",All-4-One,2,26 June 1994,7
26 June 1994,2,"\Go On Move\""""",Reel 2 Real featuring The Mad Stuntman,7,26 June 1994,2
26 June 1994,6,"\Shine\""""",Aswad,5,17 July 1994,1
26 June 1994,1,"\U & Me\""""",Cappella,10,26 June 1994,1
3 July 1994,3,"\Love Ain't Here Anymore\""""",Take That,3,3 July 1994,2
3 July 1994,7,"\(Meet) The Flintstones\""""",The B.C. 52s,3,17 July 1994,3
3 July 1994,2,"\Word Up!\""""",GUN,8,3 July 1994,1
10 July 1994,2,"\Everybody Gonfi-Gon\""""",2 Cowboys,7,10 July 1994,1
10 July 1994,9,"\Crazy for You\"" (#8)""",Let Loose,2,14 August 1994,2
