Pos,No.,Rider,Manufacturer,Laps,Time/Retired,Grid,Points,Filler_1,Filler_2
23,15,Michele Pirro,Aprilia,27,+57.474,22,,QhauUp,DfxFXP
24,29,Andrea Iannone,Aprilia,27,+57.707,20,,ZSLGUF,lUvcMSy
25,7,Alexis Masbou,Malaguti,27,+1:04.698,37,,CljZcft,osOoa
26,16,Michele Conti,Honda,27,+1:04.793,32,,fklNHvnj,yggcIHCS
27,45,Imre Tóth,Aprilia,27,+1:07.754,19,,yGePUy,fTFuN
28,43,Manuel Hernández,Aprilia,27,+1:17.323,30,,UFMjCVz,gRLKZN
29,23,Lorenzo Baroni,Honda,27,+1:17.507,26,,AhHYkMK,DNbDdQ
30,21,Mateo Túnez,Aprilia,27,+1:20.583,29,,ziHXC,PHtAh
31,34,Esteve Rabat,Honda,27,+1:24.772,39,,MreSpT,gyrbuAW
32,98,Toni Wirsing,Honda,26,+1 Lap,42,,VUvIbHTh,SQzltjKa
Ret,61,Robin Lässer,KTM,17,Retirement,36,,qddAsTv,nZcHuNN
