Pos,No.,Rider,Manufacturer,Laps,Time/Retired,Grid,Points,Unused_1,Dummy_Col_2
12,38,Bradley Smith,Honda,27,+26.389,14,4,,phxNnN
13,11,Sandro Cortese,Honda,27,+26.480,11,3,,HqxbsZ
14,14,Gábor Talmácsi,Honda,27,+26.606,7,2,,AHAsLf
15,71,Tomoyoshi Koyama,Malaguti,27,+27.068,15,1,,PmdpIDll
16,54,Randy Krummenacher,KTM,27,27.192,21,,,kdpntAuP
17,8,Lorenzo Zanetti,Aprilia,27,+46.145,23,,,CxtKv
18,17,Stefan Bradl,KTM,27,+46.201,18,,,GXsoWPgV
19,95,Georg Fröhlich,Honda,27,+56.274,28,,,yNOriad
20,35,Raffaele De Rosa,Aprilia,27,+56.549,25,,,QbxUGLe
21,26,Vincent Braillard,Aprilia,27,+56.782,31,,,RvVHe
22,12,Federico Sandi,Aprilia,27,+57.073,27,,,byQuk
