No.,Temple,Honzon (main image),City/Town/Village,Prefecture,Unused_1,Filler_2
67,Daikō-ji (大興寺),Yakushi Nyorai,Mitoyo,Kagawa Prefecture,,ZUpUH
68,Jinne-in (神恵院),Amida Nyorai,Kan'onji,Kagawa Prefecture,,LWGYau
69,Kannon-ji (観音寺),Shō Kannon,Kan'onji,Kagawa Prefecture,,OeIebc
70,Motoyama-ji (本山寺),Batō Kannon,Mitoyo,Kagawa Prefecture,,hzQcm
71,Iyadani-ji (弥谷寺),Senjū Kannon,Mitoyo,Kagawa Prefecture,,QvPjQR
72,Mandara-ji (曼荼羅寺),Dainichi Nyorai,Zentsūji,Kagawa Prefecture,,HLOstEmX
73,Shusshakaji (出釈迦寺),Shaka Nyorai,Zentsūji,Kagawa Prefecture,,HECNuBT
74,Kōyama-ji (甲山寺),Yakushi Nyorai,Zentsūji,Kagawa Prefecture,,fyoAw
75,Zentsū-ji (善通寺),Yakushi Nyorai,Zentsūji,Kagawa Prefecture,,zqRuhB
76,Konzō-ji (金倉寺),Yakushi Nyorai,Zentsūji,Kagawa Prefecture,,PZMWAc
77,Dōryū-ji (道隆寺),Yakushi Nyorai,Tadotsu,Kagawa Prefecture,,pdRaRD
