No.,Temple,Honzon (main image),City/Town/Village,Prefecture,Noise_Field_1,Noise_Field_2,Irrelevant_3
1,Ryōzen-ji (霊山寺),Shaka Nyorai,Naruto,Tokushima Prefecture,myAkmo,NnYIkXAG,vcDbKbV
2,Gokuraku-ji (極楽寺),Amida Nyorai,Naruto,Tokushima Prefecture,FndicY,YBFgboIA,A7gNnyRt
3,Konsen-ji (金泉寺),Shaka Nyorai,Itano,Tokushima Prefecture,DGpltHg,QeenK,pP3uBa3v
4,Dainichi-ji (大日寺),Dainichi Nyorai,Itano,Tokushima Prefecture,upxmWWIF,jkIhssG,Q4HSdrl
5,Jizō-ji (地蔵寺),Enmei Jizō Bosatsu,Itano,Tokushima Prefecture,cLoAW,wEQsWF,42p70bZy
6,Anraku-ji (安楽寺),Yakushi Nyorai,Kamiita,Tokushima Prefecture,vPdrrF,eMkwzM,t1iatsDm
7,Jūraku-ji (十楽寺),Amida Nyorai,Awa,Tokushima Prefecture,MJUyU,nkxqD,HlK3zBU
8,Kumadani-ji (熊谷寺),Senjū Kannon,Awa,Tokushima Prefecture,GmElT,lKVXB,yQvzn
9,Hōrin-ji (法輪寺),Shaka Nyorai,Awa,Tokushima Prefecture,rstdCOL,jgWAXajv,Two0POg
10,Kirihata-ji (切幡寺),Senjū Kannon,Awa,Tokushima Prefecture,TufEvmCi,emqgk,67SgtH
11,Fujii-dera (藤井寺),Yakushi Nyorai,Yoshinogawa,Tokushima Prefecture,rnYXRjz,GjKHJHt,ok1AN
