No.,Temple,Honzon (main image),City/Town/Village,Prefecture
34,Tanema-ji (種間寺),Yakushi Nyorai,Haruno,Kōchi Prefecture
35,Kiyotaki-ji (清滝寺),Yakushi Nyorai,Tosa,Kōchi Prefecture
36,Shōryū-ji (青竜寺),Fudō Myōō,Tosa,Kōchi Prefecture
37,Iwamoto-ji (岩本寺),Five Buddhas,Shimanto,Kōchi Prefecture
38,Kongōfuku-ji (金剛福寺),Senjū Kannon,Tosashimizu,Kōchi Prefecture
39,Enkō-ji (延光寺),Yakushi Nyorai,Sukumo,Kōchi Prefecture
40,Kanjizai-ji (観自在寺),Yakushi Nyorai,Ainan,Ehime Prefecture
41,Ryūkōji (竜光寺),Jūichimen Kannon,Uwajima,Ehime Prefecture
42,Butsumoku-ji (佛木寺),Dainichi Nyorai,Uwajima,Ehime Prefecture
43,Meiseki-ji (明石寺),Senjū Kannon,Seiyo,Ehime Prefecture
44,Daihō-ji (大宝寺),Jūichimen Kannon,Kumakōgen,Ehime Prefecture
