No.,Temple,Honzon (main image),City/Town/Village,Prefecture,Random_Column_1
56,Taisan-ji (泰山寺),Jizō Bosatsu,Imabari,Ehime Prefecture,DKUrv
57,Eifuku-ji (栄福寺),Amida Nyorai,Imabari,Ehime Prefecture,pu3jVx3y
58,Senyū-ji (仙遊寺),Senjū Kannon,Imabari,Ehime Prefecture,WxVlL
59,Iyo Kokubun-ji (伊予国分寺),Yakushi Nyorai,Imabari,Ehime Prefecture,vexBDgl6
60,Yokomine-ji (横峰寺),Dainichi Nyorai,Saijō,Ehime Prefecture,AvoGOV
61,Kōon-ji (香園寺),Dainichi Nyorai,Saijō,Ehime Prefecture,ZsawSr4
62,Hōju-ji (宝寿寺),Jūichimen Kannon,Saijō,Ehime Prefecture,WQnUxvk
63,Kichijō-ji (吉祥寺),Bishamonten,Saijō,Ehime Prefecture,y7qXee5
64,Maegami-ji (前神寺),Amida Nyorai,Saijō,Ehime Prefecture,oQ5ReJ
65,Sankaku-ji (三角寺),Jūichimen Kannon,Shikokuchūō,Ehime Prefecture,dwJoe
66,Unpen-ji (雲辺寺),Senjū Kannon,Miyoshi,Tokushima Prefecture,8V4XHJT
