No.,Temple,Honzon (main image),City/Town/Village,Prefecture,Noise_Field_1,Filler_2
45,Iwaya-ji (岩屋寺),Fudō Myōō,Kumakōgen,Ehime Prefecture,IqjBH,SXyNtctu
46,Jōruri-ji (浄瑠璃寺),Yakushi Nyorai,Matsuyama,Ehime Prefecture,igPzwDI,QWMQBKjz
47,Yasaka-ji (八坂寺),Amida Nyorai,Matsuyama,Ehime Prefecture,hSgcRbZ,kqOUBr
48,Sairin-ji (西林寺),Jūichimen Kannon,Matsuyama,Ehime Prefecture,DtkRtcf,jSWjsqg
49,Jōdo-ji (浄土寺),Shaka Nyorai,Matsuyama,Ehime Prefecture,OIZGdiaX,QenWEjh
50,Hanta-ji (繁多寺),Yakushi Nyorai,Matsuyama,Ehime Prefecture,TlqeVITg,DItfyt
51,Ishite-ji (石手寺),Yakushi Nyorai,Matsuyama,Ehime Prefecture,PTepo,UKHQZ
52,Taisan-ji (太山寺),Jūichimen Kannon,Matsuyama,Ehime Prefecture,HfPAh,nCTaeZ
53,Enmyō-ji (円明寺),Amida Nyorai,Matsuyama,Ehime Prefecture,jCIhbsZ,KPSTN
54,Enmei-ji (延命寺),Fudō Myōō,Imabari,Ehime Prefecture,gtUiiJh,SgpZtu
55,Nankōbō (南光坊),Daitsū-chishō Butsu,Imabari,Ehime Prefecture,lqUra,LYugJhG
