No.,Temple,Honzon (main image),City/Town/Village,Prefecture
12,Shōsan-ji (焼山寺),Kokūzō Bosatsu,Kamiyama,Tokushima Prefecture
13,Dainichi-ji (大日寺),Jūichimen Kannon,Tokushima,Tokushima Prefecture
14,Jōraku-ji (常楽寺),Miroku Bosatsu,Tokushima,Tokushima Prefecture
15,Awa Kokubun-ji (阿波国分寺),Yakushi Nyorai,Tokushima,Tokushima Prefecture
16,Kannon-ji (観音寺),Senjū Kannon,Tokushima,Tokushima Prefecture
17,Ido-ji (井戸寺),Yakushi Nyorai,Tokushima,Tokushima Prefecture
18,Onzan-ji (恩山寺),Yakushi Nyorai,Komatsushima,Tokushima Prefecture
19,Tatsue-ji (立江寺),Jizō Bosatsu,Komatsushima,Tokushima Prefecture
20,Kakurin-ji (鶴林寺),Jizō Bosatsu,Katsuura,Tokushima Prefecture
21,Tairyūji (太竜寺),Kokūzō Bosatsu,Anan,Tokushima Prefecture
22,Byōdō-ji (平等寺),Yakushi Nyorai,Anan,Tokushima Prefecture
