No.,Temple,Honzon (main image),City/Town/Village,Prefecture
78,Gōshō-ji (郷照寺),Amida Nyorai,Utazu,Kagawa Prefecture
79,Tennō-ji (天皇寺),Jūichimen Kannon,Sakaide,Kagawa Prefecture
80,Sanuki Kokubun-ji (讃岐国分寺),Jūichimen & Senjū Kannon,Takamatsu,Kagawa Prefecture
81,Shiromine-ji (白峯寺),Senjū Kannon,Sakaide,Kagawa Prefecture
82,Negoro-ji (根香寺),Senjū Kannon,Takamatsu,Kagawa Prefecture
83,Ichinomiya-ji (一宮寺),Shō Kannon,Takamatsu,Kagawa Prefecture
84,Yashima-ji (屋島寺),Jūichimen & Senjū Kannon,Takamatsu,Kagawa Prefecture
85,Yakuri-ji (八栗寺),Shō Kannon,Takamatsu,Kagawa Prefecture
86,Shido-ji (志度寺),Jūichimen Kannon,Sanuki,Kagawa Prefecture
87,Nagao-ji (長尾寺),Shō Kannon,Sanuki,Kagawa Prefecture
88,Ōkubo-ji (大窪寺),Yakushi Nyorai,Sanuki,Kagawa Prefecture
