Team,Winners,Runners-up,Years won,Years runner-up,Dummy_Col_1,Unused_2,Unused_3
Liverpool,8,3,"1981, 1982, 1983, 1984, 1995, 2001, 2003, 2012","1978, 1987, 2005",duFBquK,,
Aston Villa,5,3,"1961, 1975, 1977, 1994, 1996","1963, 1971, 2010",IltSl,,
Manchester United,4,4,"1992, 2006, 2009, 2010","1983, 1991, 1994, 2003",rEwluePe,,
Tottenham Hotspur,4,3,"1971, 1973, 1999, 2008","1982, 2002, 2009",Lustk,,
Chelsea,4,2,"1965, 1998, 2005, 2007","1972, 2008",RGsHQ,,
Nottingham Forest,4,2,"1978, 1979, 1989, 1990","1980, 1992",XYeimV,,
Leicester City,3,2,"1964, 1997, 2000","1965, 1999",JdKBccgL,,
Manchester City,3,1,"1970, 1976, 2014",1974,IgNRowg,,
Arsenal,2,5,"1987, 1993","1968, 1969, 1988, 2007, 2011",jUMvxcF,,
Norwich City,2,2,"1962, 1985","1973, 1975",cokkcc,,
Birmingham City,2,1,"1963, 2011",2001,bYIuIXD,,
Wolverhampton Wanderers,2,0,"1974, 1980",—,lBciRia,,
