Symbol,GSI,Meaning,Unicode,Description
⊕,○,Public health centre,U+2295,Greek cross in circle
⛨,○,Hospital,,Greek cross in shield
⭖,○,Prefectural Office,U+26FB,Oval bullseye
⭗,○,City hall,U+2B57,Heavy circle with circle inside
◉,○,Ward office,U+25C9,Fisheye
⭘,○,Town hall,U+2B58,Heavy circle
⛩,○,Shinto shrine,U+26E9,Shinto shrine
卍,○,Buddhist temple,U+534D,Manji (Swastika)
⛫,○,Castle,U+26EB,Castle
⛼,○,Cemetery,U+26FC,Headstone graveyard symbol
♨,○,Onsen (hot springs),U+2668,Oval with three vertical wavy lines
⛬,○,Historical landmark,U+26EC,Historic site
⛰,○,Summit,U+26F0,Mountain
