Symbol,GSI,Meaning,Unicode,Description,Extra_Data_1
◬,○,Base triangulation surveying point,U+25EC,Dot in upward-pointing triangle,366
,○,Electronic triangulation point,,Dot in upward-pointing triangle with flag,870
⊡,○,Benchmark,U+22A1,Dot in square,303
⛭,○,Factory,U+26ED,Gear without hub,386
⛯,○,Lighthouse,U+26EF,Map symbol for lighthouse,838
⛮,○,Power station,U+26EE,Gear with handles,35
文,○,Elementary or junior high school,U+6587,Kanji bun,213
㉆,○,High school,,Kanji bun in a circle,632
,○,University,,Kanji bun with a smaller kanji 大 (for daigaku) in brackets on top,71
,○,Technical college,,Kanji bun with a smaller kanji 専 (for senmon gakkō) in brackets on top,493
〶,○,Post office,U+3036,Down tack (T-shape) with overbar in circle,114
〒,×,Sub post office (not distribution centre),U+3012,Down tack (T-shape) with overbar,4
⭙,○,Police station,U+2B59,Heavy circled saltire,332
☓,○,Koban (police box),U+2613,Diagonal cross (saltire),81
