Name,Season(s),Position(s),Notes
Denny Doyle,1970–1973,Second baseman,.240 batting average9 home runs92 runs batted in
Jack Doyle,1904,First baseman,.220 batting average1 home run22 runs batted in
Solly Drake,1959,Left fielder,.145 batting average1 double3 runs batted in
Karl Drews,1951–1954,Pitcher,25–25 record3.74 earned run average187 strikeouts
Monk Dubiel,1948,Pitcher,8–10 record3.89 earned run average42 strikeouts
Rob Ducey,1999–20002000–2001,Left fielder,.232 batting average15 home runs62 runs batted in
Brandon Duckworth,2001–2003,Pitcher,15–18 record4.87 earned run average275 strikeouts
Clise Dudley,1931–1932,Pitcher,9–15 record3.84 earned run average55 strikeouts
Hugh Duffy,1904–1906,Center fielderLeft fielder,.287 batting average3 doubles8 runs batted in
Gus Dugas,1933,First baseman,.169 batting average3 doubles9 runs batted in
Oscar Dugey,1915–1917,Second baseman,.193 batting average8 doubles10 runs batted in
