Name,Season(s),Position(s),Notes
Dixie Davis,1918,Pitcher,0–2 record3.06 earned run average18 strikeouts
Jacke Davis,1962,Left fielder,.213 batting average1 home run6 runs batted in
Kane Davis,2007,Pitcher,0–1 record5.56 earned run average10 strikeouts
Kiddo Davis,19321934,Center fielder,.302 batting average11 triples105 runs batted in
Mark Davis,1980–19811993,Pitcher,2–6 record6.31 earned run average62 strikeouts
Spud Davis,1928–19331938–1939,Catcher,.321 batting average53 home runs363 runs batted in
Bill Dawley,1988,Pitcher,0–2 record13.50 earned run average3 strikeouts
Bill Day,1889–1890,Pitcher,1–4 record4.10 earned run average29 strikeouts
Justin De Fratus,2011,Pitcher,1–0 record2.25 earned run average3 strikeouts
Valerio de los Santos,2003,Pitcher,1–0 record9.00 earned run average4 strikeouts
Wayland Dean,1926–1927,Pitcher,8–17 record5.01 earned run average53 strikeouts
