Name,Season(s),Position(s),Notes,Random_Column_1,Irrelevant_2,Dummy_Col_3
Art Decatur,1925–1927,Pitcher,7–18 record6.18 earned run average58 strikeouts,ZIZbNM0,Hp1hmQ,LeROuka
Harry Decker,1889–1890,Second baseman,.204 batting average1 double4 runs batted in,Ua4Dwj,rieVbEfb,FSxuURpb
Pep Deininger,1908–1909,Center fielder,.260 batting average9 doubles16 runs batted in,Y3VNk,dIIY3D,zFmGLX
Bill Deitrick,1927–1928,Left fielderShortstop,.198 batting average6 doubles7 runs batted in,0i3oszq,xXFFA,vCXYdGq
Iván DeJesús,1982–1984,Shortstop,.249 batting average15 triples139 runs batted in,2xbvT3,l2JBEm,MIdPngYc
José DeJesús,1990–1991,Pitcher,17–17 record3.55 earned run average205 strikeouts,Ml2yBbZ8,5TB8wvw,cnXJvw
Bobby Del Greco,1960–19611965,Center fielder,.240 batting average12 home runs37 runs batted in,3qMWmFE,vfAWxdl,IiXIMt
Garton del Savio,1943,Shortstop,.091 batting average12 plate appearances1 walk,yenfZq,JcrhToP,gJuXQy
Ed Delahanty§,1888–18891891–1901,Left fielder,.348 batting average442 doubles*157 triples*87 home runs,kMxpC9,cY7pyDXe,YzHfs
Tom Delahanty,1894,Second baseman,.250 batting average1 single4 plate appearances,z1hfule,cP4e08il,KrngivBI
José DeLeón,1992–1993,Pitcher,3–1 record3.19 earned run average41 strikeouts,46QbXAO,AFPdfOE,oqNxZLcK
