Name,Season(s),Position(s),Notes,Dummy_Col_1
Glenn Dishman,1996,Pitcher,7.71 earned run average3 strikeouts2 walks,ghJYd
Greg Dobbs,2007–2010,Third baseman,.261 batting average29 home runs130 runs batted in,TQKbv
Robert Dodd,1998,Pitcher,1–0 record7.20 earned run average4 strikeouts,yPDay
John Dodge,1912–1913,Third baseman,.126 batting average1 double3 runs batted in,RYKyfyJR
Cozy Dolan,1912–1913,Third baseman,.267 batting average6 doubles15 runs batted in,TFThZ
Joe Dolan,1899–1901,Second baseman,.215 batting average2 home runs59 runs batted in,WLzKxUyW
Deacon Donahue,1943–1944,Pitcher,0–2 record6.75 earned run average3 strikeouts,SjNQgzQo
Red Donahue,1898–1901,Pitcher,72–48 record3.26 earned run average237 strikeouts,XOgAYuFz
She Donahue,1904,ShortstopThird baseman,.215 batting average4 doubles14 runs batted in,FTzSAX
Blix Donnelly,1946–1950,Pitcher,16–22 record3.64 earned run average161 strikeouts,nssku
Alexander Donoghue,1891,Center fielderShortstop,.318 batting average1 double2 runs batted in,mXxjiDCN
