Name,Season(s),Position(s),Notes,Dummy_Col_1
Jim Devlin,1887,Pitcher,0–2 record6.00 earned run average6 strikeouts,NrrzDGb
Josh Devore,1913–1914,Left fielderCenter fielder,.293 batting average3 doubles12 runs batted in,xXOPSQ
Bo Díaz,1982–1985,Catcher,.256 batting average36 home runs174 runs batted in,ysGvz
Murry Dickson,1954–1956,Pitcher,22–34 record3.71 earned run average157 strikeouts,IYdQTcYv
Dutch Dietz,1943,Pitcher,1–1 record6.50 earned run average10 strikeouts,uOGvosvk
Gordon Dillard,1989,Pitcher,6.75 earned run average3 runs allowed2 strikeouts,xPiojOMe
Pickles Dillhoefer,1918,Catcher,.091 batting average1 singles2 stolen bases,rsaaqrv
Vince DiMaggio,1945–1946,Center fielder,.255 batting average19 home runs85 runs batted in,GbNguFQW
Kerry Dineen,1978,Left fielder,.250 batting average1 double9 plate appearances,EDefc
Vance Dinges,1945–1946,Outfielder,.291 batting average2 home runs46 runs batted in,JkqRdv
Ron Diorio,1973–1974,Pitcher,3.10 earned run average11 strikeouts7 walks,LslPJvPn
