Name,Season(s),Position(s),Notes,Extra_Data_1,Random_Column_2,Extra_Data_3
Jerry Donovan,1906,Catcher,.199 batting average4 doubles15 runs batted in,796,kIDxRDG,218
Red Dooin,1902–1914,Catcher,.241 batting average10 home runs335 runs batted in,148,FgFNjc,645
Mickey Doolan,1905–1913,Shortstop,.236 batting average11 home runs445 runs batted in,671,nxDYm,45
David Doster,19961999,Second baseman,.233 batting average4 home runs18 runs batted in,662,oOyXNBit,207
Klondike Douglass,1898–1904,First basemanCatcher,.261 batting average22 triples197 runs batted in,890,SfG5wFS,250
Tommy Dowd,1897,Right fielder,.292 batting average14 doubles43 runs batted in,854,NdiKB9d,357
Ken Dowell,1987,Shortstop,.128 batting average5 singles1 run batted in,336,9fCzL,618
Tom Downey,1912,Third baseman,.292 batting average1 home runs23 runs batted in,298,CY4OsmA,262
Dave Downs,1972,Pitcher,1–1 record2.74 earned run average5 strikeouts,666,b880eS,103
Tom Dowse,1892,Catcher,.185 batting average10 hits6 runs batted in,987,LnHTHfa,426
Conny Doyle,1883,Left fielder,.221 batting average3 doubles3 runs batted in,957,4UW4js,10
