Name,Season(s),Position(s),Notes
Bill Duggleby,18981901–1907,Pitcher,90–99 record3.20 earned run average445 strikeouts81 hit batsmen*
Mariano Duncan,1992–1995,Second basemanShortstop,.274 batting average30 home runs194 runs batted in
Vern Duncan,1913,Right fielderLeft fielder,.417 batting average1 double1 run batted in
Lee Dunham,1926,First baseman,.250 batting average1 run batted in4 plate appearances
Davey Dunkle,1897–1898,Pitcher,6–6 record5.32 earned run average30 strikeouts
Jack Dunn,1900–1901,Pitcher,5–6 record5.74 earned run average13 strikeouts
Chad Durbin,2008–2010,Pitcher,11–7 record3.62 earned run average188 strikeouts
J. D. Durbin,2007,Pitcher,6–5 record5.15 earned run average39 strikeouts
Ryne Duren,1963–1965,Pitcher,6–2 record3.38 earned run average95 strikeouts
George Durning,1925,Right fielder,.357 batting average5 hits1 run batted in
Lenny Dykstra,1989–1996,Center fielder,.289 batting average51 home runs251 runs batted in
