Name,Season(s),Position(s),Notes
Eddie Delker,1932–1933,Second baseman,.165 batting average1 home run8 runs batted in
David Dellucci,2006,Left fielderRight fielder,.292 batting average13 home runs39 runs batted in
Al Demaree,1915–1916,Pitcher,33–25 record2.80 earned run average199 strikeouts
Don Demeter,1961–1963,OutfielderThird baseman,.276 batting average71 home runs258 runs batted in
Tod Dennehey,1923,Left fielder,.292 batting average2 doubles2 runs batted in
Jerry Denny,1891,First basemanThird baseman,.288 batting average1 double11 runs batted in
John Denny,1982–1985,Pitcher,37–29 record2.96 earned run average375 strikeouts
Mike DePangher,1884,Catcher,.200 batting average2 singles11 plate appearances
Bob Dernier,1980–19831988–1989,Center fielderRight fielder,.241 batting average7 home runs60 runs batted in
Jim Deshaies,1995,Pitcher,0–1 record20.25 earned run average6 strikeouts
Mickey Devine,1918,Catcher,.125 batting average1 double8 plate appearances
