Area served,City of license,VC,RF,Callsign,Network,Notes,Noise_Field_1,Unused_2,Irrelevant_3
Columbia/Jefferson City,Jefferson City,25,20,KNLJ,Ind.,,jZfCn,,hM2AMF
Hannibal,Hannibal,7,7,KHQA-TV,CBS,ABC on 7.2,KwfCsK,,CXoAYC
Hannibal,~Quincy IL,10,10,WGEM-TV,NBC,,dvIhmxsT,,BQxrsb
Hannibal,~Quincy IL,16,32,WTJR,Ind.,,GnzyFuI,,ZWXQy9
Hannibal,~Quincy IL,27,34,WQEC,PBS,satellite of WSEC ch. 14 Springfield IL,mCZdtt,,pQPXhAGz
Joplin,~Pittsburg KS,7,7,KOAM-TV,CBS,,syoNauvS,,urzeJRr4
Joplin,Joplin,12,43,KODE-TV,ABC,,CFsrc,,lg1ruuOW
Joplin,~Pittsburg KS,14,13,KFJX,Fox,,WfCEQ,,Y0D3Z
Joplin,Joplin,16,46,KSNF,NBC,,TKAdD,,AorWw
Joplin,Joplin,26,25,KOZJ,PBS,satellite of KOZK ch. 21 Springfield,yHwYXsq,,5c1wUwL
