Area served,City of license,VC,RF,Callsign,Network,Notes,Filler_1,Dummy_Col_2
Cape Girardeau,~Harrisburg IL,3,34,WSIL-TV,ABC,,wFFgVgL,CXmvv
Cape Girardeau,~Paducah KY,6,32,WPSD-TV,NBC,,greBklxN,FjmaO
Cape Girardeau,~Carbondale IL,8,8,WSIU-TV,PBS,,UfjreR,nAAZqPCf
Cape Girardeau,Cape Girardeau,12,12,KFVS-TV,CBS,,WhJrmU,RVroQg
Cape Girardeau,Cape Girardeau,23,22,KBSI,Fox,,vJpmoVf,WrMFznh
Cape Girardeau,~Marion IL,27,17,WTCT,Ind.,,qxjaRp,LQzrS
Cape Girardeau,~Paducah KY,49,49,WDKA,MNT,,eDsiIzD,bKXSNI
Columbia/Jefferson City,Sedalia,6,15,KMOS-TV,PBS,,WWiGB,jyywW
Columbia/Jefferson City,Columbia,8,8,KOMU-TV,NBC,,AYwXbI,zNFvs
Columbia/Jefferson City,Jefferson City,13,12,KRCG,CBS,,FGUvxbT,lwMlW
Columbia/Jefferson City,Columbia,17,17,KMIZ,ABC,,cLhSAGn,fhGnvE
