Area served,City of license,VC,RF,Callsign,Network,Notes,Extra_Data_1
Kansas City,Kansas City,4,34,WDAF-TV,Fox,,102
Kansas City,Kansas City,5,24,KCTV,CBS,,275
Kansas City,Kansas City,9,29,KMBC-TV,ABC,,264
Kansas City,St. Joseph,16,21,KTAJ-TV,TBN,,304
Kansas City,Kansas City,19,18,KCPT,PBS,,156
Kansas City,Kansas City,29,31,KCWE,CW,,873
Kansas City,~Lawrence KS,38,41,KMCI,Ind.,,741
Kansas City,Kansas City,41,42,KSHB-TV,NBC,,303
Kansas City,Kansas City,50,51,KPXE-TV,ION,,597
Kansas City,Kansas City,62,47,KSMO-TV,MNT,,803
