Area served,City of license,VC,RF,Callsign,Network,Notes
St. Louis,St. Louis,30,31,KDNL-TV,ABC,Independent (1969-1986); Fox (1986-1995)
St. Louis,~East St. Louis IL,46,47,WRBU,MNT,
Springfield,Springfield,3,44,KYTV,NBC,
Springfield,Springfield,10,10,KOLR,CBS,
Springfield,Springfield,21,23,KOZK,PBS,
Springfield,Springfield,27,28,KOZL-TV,Ind.,
Springfield,~Harrison AR,31,31,KWBM,Ind.,
Springfield,Springfield,33,19,KSPR,ABC,K15CZ (CW) on 33.2
Springfield,Osage Beach,49,49,KRBK,Fox,
Springfield,Springfield,8,8,KRFT-LD,MundoFox,"TNN on 8.2, My Family TV on 8.3"
