Area served,City of license,VC,RF,Callsign,Network,Notes
Kirksville,Kirksville,3,33,KTVO,ABC,
Kirksville,~Ottumwa IA,15,15,KYOU-TV,Fox,
Poplar Bluff,Poplar Bluff,15,15,KPOB-TV,ABC,satellite of WSIL-TV ch. 3 Harrisburg IL
St. Joseph,St. Joseph,2,7,KQTV,ABC,
St. Louis,St. Louis,2,43,KTVI,Fox,"ABC (1955-1995), Fox O&O (c.1995-2008)"
St. Louis,St. Louis,4,24,KMOV,CBS,CBS O&O (1958-1986 as KMOX-TV)
St. Louis,St. Louis,5,35,KSDK,NBC,
St. Louis,St. Louis,9,39,KETC,PBS,
St. Louis,St. Louis,11,26,KPLR-TV,CW,
St. Louis,St. Louis,24,14,KNLC,Ind.,
