Name,Location,County,Order,Year dissolved
Ulverscroft Priory,Ulverscroft,Leicestershire,Canons Regular,1539
Vale Royal Abbey,Whitegate and Marton,Cheshire,Cistercian,1538
Valle Crucis Abbey,Llantysilio,Denbighshire,Cistercian,1537
Walsingham Priory,Walsingham,Norfolk,Canon Regular,1538
Waltham Abbey,Waltham Abbey,Essex,Canon Regular,1540
Waverley Abbey,Farnham,Surrey,Cistercian,1536
Welbeck Abbey,Welbeck,Nottinghamshire,Premonstratensian,1538
Wenlock Priory,Much Wenlock,Shropshire,Cluniac,1540
Westminster Abbey,Westminster,Greater London,Benedictine,1539
Whitby Abbey,Whitby,North Yorkshire,Benedictine,1540
Whitland Abbey,Llanboidy,Carmarthenshire,Cistercian,1539
Woburn Abbey,Woburn,Bedfordshire,Cistercian,1538
Woodspring Priory,Kewstoke,Somerset,Augustinian,1536
Worcester Priory,Worcester,Worcestershire,Benedictine,1540
Yeaveley Preceptory,Yeaveley,Derbyshire,Knights Hospitaller,1540
