Name,Location,County,Order,Year dissolved,Noise_Field_1,Dummy_Col_2
Bourne Abbey,Bourne,Lincolnshire,Arrouaisian,1536,RVaUaJH,ivLZz
Boxgrove Priory,Boxgrove,West Sussex,Benedictine,1536,CUbAhzJO,HlxXut
Bradley Priory,Bradley,Leicestershire,Augustinian,1536,uyLMxi,iZRASET
Breadsall Priory,Breadsall,Derbyshire,Canon Regular,1536,WZmBz,kekBogk
Breedon Priory,Breedon on the Hill,Leicestershire,Canon Regular,1539,zGLnn,GCCcT
Bridlington Priory,Bridlington,East Riding of Yorkshire,Canon Regular,1538,nffnEHF,hQAFCqJi
Brinkburn Priory,Brinkburn,Northumberland,Augustinian,1536,FXXLSbn,qWIcALf
Brooke Priory,Brooke,Rutland,Canons Regular,1535/6,SLrBdNE,kcWyBC
Buckfast Abbey,Buckfastleigh,Devon,Cistercian,1539,cARGotHM,NzSrsy
Buckland Abbey,Buckland Monachorum,Devon,Cistercian,1539,sCfrnYNu,syYfqgp
Buildwas Abbey,Buildwas,Shropshire,Cistercian,1536,oBeSHJ,Zocfqj
Byland Abbey,Byland with Wass,North Yorkshire,Cistercian,1538,fXICKk,Wchfuq
Calke Priory,Calke,Derbyshire,Augustinian,1538,BEiZu,fAGgqm
Canons Ashby Priory,Canons Ashby,Northamptonshire,Canon Regular,1536,mKele,PcTzA
Cardigan Priory,Cardigan,Ceredigion,Benedictine,1538,zBUMeLjD,ogPgtFMn
Carmarthen Friary,Carmarthen,Carmarthenshire,Franciscan,1538,zlMMQ,VmYHrhv
