Name,Location,County,Order,Year dissolved
Mount Grace Priory,East Harlsey,North Yorkshire,Carthusian,1539
Neath Abbey,Dyffryn Clydach,Neath Port Talbot,Cistercian,1539
Netley Abbey,Hound,Hampshire,Cistercian,1536
Newark Priory,Ripley,Surrey,Augustinian,1538
Newbo Abbey,Sedgebrook,Lincolnshire,Premonstratensian,1536
Newminster Abbey,Morpeth,Northumberland,Cistercian,1537
Newstead Abbey,Newstead,Nottinghamshire,Augustinian,1539
Owston Abbey,,Leicestershire,Canons Regular,1536
Penmon Priory,Llangoed,Isle of Anglesey,Augustinian,1538
Pershore Abbey,Pershore,Worcestershire,Benedictine,1539
Quarr Abbey,Nr. Fishbourne,Isle of Wight,Cistercian,1536
Reading Abbey,Reading,Berkshire,Cluniac,1538
Repton Priory,Repton,Derbyshire,Augustinian,1538
Revesby Abbey,Revesby,Lincolnshire,Cistercian,1538
Rievaulx Abbey,Rievaulx,North Yorkshire,Cistercian,1538
Roche Abbey,Maltby,South Yorkshire,Cistercian,1538
