Name,Location,County,Order,Year dissolved,Random_Column_1
Romsey Abbey,Romsey,Hampshire,Benedictine,1539,GHgpm
Rufford Abbey,Rufford,Nottinghamshire,Cistercian,1536,LPeXULnC
Rushen Abbey,Malew,Isle of Man,Cistercian,1540,buMG7hd
Sawley Abbey,Sawley,Lancashire,Cistercian,1536,eC1zqFX
Selby Abbey,Selby,North Yorkshire,Benedictine,1539,2Mf4KFIb
Sempringham Priory,Pointon and Sempringham,Lincolnshire,Gilbertine,1538,HWWgza6s
Shap Abbey,Shap Rural,Cumbria,Premonstratensian,1540,nEk6V
Shrewsbury Abbey,Shrewsbury,Shropshire,Benedictine,1540,khI0uR
Sibton Abbey,Yoxford,Suffolk,Cistercian,1536,QEvDqD6
"St Bartholomew's Priory, Smithfield","Smithfield, City of London",Greater London,Augustinian,1539,sqtnbg
St Albans Abbey,St Albans,Hertfordshire,Benedictine,1539,lkTTLZZ
St Augustine's Abbey,Canterbury,Kent,Benedictine,1538,g0aFDu5z
St Bees Priory,St Bees,Cumbria,Benedictine,1539,wf4licM
St Faith Priory,Horsham St Faith and Newton St Faith,Norfolk,Benedictine,1536,TCRFC
St Gregory's Priory,Canterbury,Kent,Augustinian,1535,biK1C
"St Helen's Priory, Bishopsgate","Bishopsgate, City of London",Greater London,Benedictine,1538,xDOt1l18
