Name,Location,County,Order,Year dissolved
"St. James Priory, Derby",Derby,Derbyshire,Cluniac,1536
St Mary's Abbey,York,North Yorkshire,Benedictine,1539
St Mary's Priory,Coventry,Warwickshire,Benedictine,1539
St Peter's Abbey,Gloucester,Gloucestershire,Benedictine,1540
Strata Florida Abbey,Ystrad Fflur,Ceredigion,Cistercian,1539
Stratford Langthorne Abbey,West Ham,Greater London,Cistercian,1538
Syon Abbey,Heston and Isleworth,Greater London,Bridgettine,1539
Talley Abbey,Talley,Carmarthenshire,Premonstratensian,1536
Tavistock Abbey,Tavistock,Devon,Benedictine,1539
Tewkesbury Abbey,Tewkesbury,Gloucestershire,Benedictine,1539
Thetford Priory,Thetford,Norfolk,Cluniac,1540
Thornton Abbey,Thornton Curtis,Lincolnshire,Augustinian,1539
Tintern Abbey,Tintern,Monmouthshire,Cistercian,1536
Titchfield Abbey,Fareham,Hampshire,Premonstratensian,1537
Tynemouth Priory,Tynemouth,Tyne and Wear,Benedictine,1538
