Name,Location,County,Order,Year dissolved
Dudley Priory,Dudley,West Midlands,Cluniac,1539
Dunstable Priory,Dunstable,Bedfordshire,Augustinian,1540
Easby Abbey,Easby,North Yorkshire,Premonstratensian,1537
Egglestone Abbey,Barnard Castle,County Durham,Premonstratensian,1540
Ewenny Priory,Ewenny,Vale of Glamorgan,Benedictine,1536
Eye Priory,Eye,Suffolk,Benedictine,1537
Folkestone Priory,Folkestone,Kent,Benedictine,1535
Forde Abbey,Thorncombe,Dorset,Cistercian,1539
Fountains Abbey,Lindrick with Studley Royal and Fountains,North Yorkshire,Cistercian,1539
Furness Abbey,Barrow in Furness,Cumbria,Cistercian,1537
Garendon Abbey,Shepshed,Leicestershire,Cistercian,1536
Gisborough Priory,Guisborough,North Yorkshire,Augustinian,1540
Glastonbury Abbey,Glastonbury,Somerset,Benedictine,1539
Grace Dieu Priory,Thringstone,Leicestershire,Augustine,1538
"Greyfriars, Leicester",Leicester,Leicestershire,Franciscan,1538
Great Malvern Priory,Malvern,Worcestershire,Benedictine,1539
