Name,Location,County,Order,Year dissolved,Extra_Data_1
Abingdon Abbey,Abingdon,Oxfordshire,Benedictine,1538,439
Bardney Abbey,Bardney,Lincolnshire,Benedictine,1538,708
Bardsey Abbey,Aberdaron,Gwynedd,Canon Regular,1537,726
Barking Abbey,Barking,Greater London,Benedictine,1539,834
Basingwerk Abbey,Holywell,Flintshire,Cistercian,1536,88
Bath Abbey,Bath,Somerset,Benedictine,1539,163
Battle Abbey,Battle,East Sussex,Benedictine,1538,415
Beauvale Charterhouse,Hucknall,Nottinghamshire,Carthusian,1539,807
Beaulieu Abbey,Beaulieu,Hampshire,Cistercian,1538,780
Belvoir Priory,Belvoir,Leicestershire,Benedictine,1539,769
Binham Priory,Binham,Norfolk,Benedictine,1539,733
Bisham Abbey,Bisham,Berkshire,Augustinian,1538,670
"Blackfriars, Derby",Derby,Derbyshire,Dominican,1539,717
"Blackfriars, Leicester",Leicester,Leicestershire,Dominican,1538,357
"Blackfriars, Newcastle",Newcastle upon Tyne,Tyne and Wear,Dominican,1536,181
Bolton Abbey,Bolton Abbey,North Yorkshire,Augustinian,1539,936
