Name,Location,County,Order,Year dissolved
Langdon Abbey,Dover,Kent,Premonstratensian,1535
Langley Priory,,Leicestershire,Benedictine,1536
Launde Priory,,Leicestershire,Canons Regular,1539
Leicester Abbey,Leicester,Leicestershire,Canons Regular,1538
Leicester Austin Friary,Leicester,Leicestershire,Austin Friars,1538
Lenton Priory,"Lenton, Nottingham",Nottinghamshire,Cluniac,1538
Lewes Priory,Lewes,East Sussex,Cluniac,1537
Lindisfarne Priory,Holy Island,Northumberland,Benedictine,1536
Llanthony Priory,Crucorney,Monmouthshire,Canon Regular,1538
Maenan Abbey,Llanddoged and Maenan,Conwy,Cistercian,1536
Malmesbury Abbey,Malmesbury,Wiltshire,Benedictine,1539
Margam Abbey,Margam,Neath Port Talbot,Cistercian,1536
Mattersey Priory,Mattersey,Nottinghamshire,Gilbertine,1538
Michelham Priory,Arlington,East Sussex,Augustinian,1537
Milton Abbey,Milton Abbas,Dorset,Benedictine,1539
Monkwearmouth Abbey,Sunderland,Tyne and Wear,Benedictine,1536
