Name,Location,County,Order,Year dissolved
Gresley Priory,Church Gresley,Derbyshire,Augustinian,1536
Hailes Abbey,Stanway,Gloucestershire,Cistercian,1539
Halesowen Abbey,Halesowen,West Midlands,Premonstratensian,1538
Haltemprice Priory,Willerby,East Riding of Yorkshire,Augustinian,1536
Haughmond Abbey,Uffington,Shropshire,Augustinian,1539
Haverholme Priory,Ewerby and Evedon,Lincolnshire,Cistercian,1539
Hexham Abbey,Hexham,Northumberland,Benedictine,1537
Holy Trinity Priory,"Aldgate, City of London",Greater London,Augustinian,1532
Jarrow Priory,Jarrow,Tyne and Wear,Benedictine,1536
Jervaulx Abbey,East Witton,North Yorkshire,Cistercian,1537
Kidwelly Priory,Kidwelly,Carmarthenshire,Benedictine,1539
King's Mead Priory,Derby,Derbyshire,Benedictine,1536
Kirby Bellars Priory,Kirby Bellars,Leicestershire,Canons Regular,1536
Kirkstall Abbey,Leeds,West Yorkshire,Cistercian,1539
Lacock Abbey,Lacock,Wiltshire,Augustinian,1539
Lanercost Priory,Burtholme,Cumbria,Augustinian,1538
