Date,Site,Winning team,Winning team,Losing team,Losing team,Series
1981,Ames,Iowa State,34,Missouri,13,Missouri 45–22–7
1982,Columbia,Iowa State,17,Missouri,17,Missouri 45–22–8
1983,Ames,Missouri,41,Iowa State,18,Missouri 46–22–8
1984,Columbia,Iowa State,14,Missouri,14,Missouri 46–22–9
1985,Ames,Missouri,28,Iowa State,27,Missouri 47–22–9
1986,Columbia,Iowa State,37,Missouri,14,Missouri 47–23–9
1987,Ames,Missouri,42,Iowa State,17,Missouri 48–23–9
1988,Columbia,Iowa State,21,Missouri,3,Missouri 48–24–9
1989,Columbia,Iowa State,35,Missouri,21,Missouri 48–25–9
1990,Ames,Iowa State,27,Missouri,25,Missouri 48–26–9
1991,Columbia,Iowa State,23,Missouri,22,Missouri 48–27–9
