Date,Site,Winning team,Winning team,Losing team,Losing team,Series
1959,Ames,Missouri,14,Iowa State,0,Missouri 30–16–6
1960,Columbia,Missouri,34,Iowa State,8,Missouri 31–16–6
1961,Ames,Missouri,13,Iowa State,7,Missouri 32–16–6
1962,Columbia,Missouri,21,Iowa State,6,Missouri 33–16–6
1963,Ames,Missouri,7,Iowa State,0,Missouri 34–16–6
1964,Columbia,Missouri,10,Iowa State,0,Missouri 35–16–6
1965,Ames,Missouri,23,Iowa State,7,Missouri 36–16–6
1966,Columbia,Missouri,10,Iowa State,10,Missouri 36–16–7
1967,Ames,Missouri,23,Iowa State,7,Missouri 37–16–7
1968,Columbia,Missouri,42,Iowa State,7,Missouri 38–16–7
1969,Ames,Missouri,40,Iowa State,13,Missouri 39–16–7
