Date,Site,Winning team,Winning team,Losing team,Losing team,Series,Random_Column_1
2002,Ames,#22 Iowa State,42,Missouri,35,Missouri 53–33–9,4jWeJ
2003,Columbia,Missouri,45,Iowa State,7,Missouri 54–33–9,zfn0T
2004,Ames,Missouri,17,Iowa State,14,Missouri 55–33–9,b4OQu7vf
2005,Columbia,Missouri,27,Iowa State,24,Missouri 56–33–9,wCM1y
2006,Ames,Iowa State,21,Missouri,16,Missouri 56–34–9,aWRAWv
2007,Columbia,#13 Missouri,42,Iowa State,28,Missouri 57–34–9,EjBvMHRT
2008,Ames,#11 Missouri,52,Iowa State,20,Missouri 58–34–9,RzDaJjp
2009,Columbia,Missouri,34,Iowa State,24,Missouri 59–34–9,o6uu1
2010,Ames,#15 Missouri,14,Iowa State,0,Missouri 60–34–9,gRsZr
2011,Columbia,Missouri,52,Iowa State,17,Missouri 61–34–9,6TMWE
