Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes
Owhango,371.89 km,456.6m,1908,closed,
Kakahi,382 km,266m,1908,closed,
Piriaka,387.15 km,230m,1908,closed,
Manunui,391.9 km,190.5m,1908,closed,
Matapuna,394.8 km,180m,1908,closed,
Taumarunui,397.75 km,171m,1903,2012,
Taringamotu,402 km,172.5m,1903,1971,
Okahukura,408.54,178.3m,1903,closed,Okahukura Junction in working timetables 1933-2010.
Te Koura,412.75 km,182m,1909,1975,
Ongarue,420.68 km,192.6m,1903,1986,
Waione Siding,426.86 km,208m,1921,1950,
Waimiha,434.39 km,232m,1903,1983,
Poro-O-Tarao,444.05 km,339.2m,1901,1979,
Mangapehi,449.47 km,285.3m,1901,1984,"Known as \Mangapeehi\"" station 1901-1920."""
Kopaki,454.35 km,265m,1901,closed,Paratikana until 1920.
