Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes
Greatford,175.67 km,104.5m,1878,c.1970,
Marton,180.25 km,140.8m,1878,2012,
Cliff Road,183.58 km,159.7m,1888,1966,
Overton,188.85 km,155m,1888,1958,
Porewa,190.53 km,165m,1888,closed,
Rata,195.46 km,194m,1888,1975,
Silverhope,199.31 km,224m,1888,1966,
Hunterville,205.33 km,267m,1888,1986,
Kaikarangi,210.18 km,284m,1888,1964,
Mangaonoho,216.04 km,257m,1893,1966,
Ohingaiti,222.14 km,279m,1902,1975,
Mangaweka,231.04 km,326.7m,1902,1982,
Utiku,243.69 km,371m,1904,closed,
Ohotu,247.08 km,395.6m,1904,closed,
Winiata,249.02 km,415m,1904,closed,
Taihape,251.85 km,442m,1904,2012,
