Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes,Random_Column_1,Extra_Data_2
Wellington,0 km,2.4m,1937,Open,"Replaced NZR's Lambton and WMR's Thorndon stations, which closed upon completion.",0erXi,875
Lambton,0 km,2.4m,1884,1937,Slightly north of current Wellington station.,GSNFqA,325
Pipitea,0.75 km,2.4m,1874,1884,"Original Wellington station, on Pipitea Quay.",c0Zxcelm,579
Thorndon,0.75 km,2.4m,1886,1937,"Wellington and Manawatu Railway Company, near of Pipitea station",1Zr9l,805
Kaiwharawhara,2.44 km,2.4m,1874,Open,Kaiwarra until 1951.,yRDZu0,568
Takapu Road,11.78 km,41m,1937,Open,,rZekw,827
Redwood,13.16 km,26.5m,1963,Open,,Y28Xe2,108
Tawa,13.58 km,25.6m,1937,Open,Tawa Flat (closed 1937) was 12 metres above Redwood station on adjacent hillside.,wIDimCt,666
Linden,14.85 km,17.7m,1940,Open,,aDBvD,409
Kenepuru,16.16 km,15m,1940,Open,,MCYPq,652
Porirua,17.8 km,3.6m,1885,Open,,glCKnLOT,93
Paremata,21.7 km,2.7m,1885,Open,,j0bRt2i,871
Mana,23.04 km,3m,1949,Open,Dolly Varden until 1960.,66qLR,524
Plimmerton,24.4 km,5.8m,1885,Open,,dN5iW5ql,406
Pukerua Bay,30.1 km,80m,1885,Open,,qb4cNUE,405
Muri,31.15 km,77m,1952,2011,,Or3Jrck,512
