Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes,Filler_1,Extra_Data_2,Noise_Field_3
Puketutu,461.83 km,206m,1889,closed,"Mokau\ until 1912.""",rNSfCu,739,ZXvMT
Waiteti,470.07 km,135m,1889,closed,,VllhHs,754,mBcKY
Te Kuiti,475.66 km,54m,1887,2012,,MtbmYZ,146,faVJmv
Te Kumi,478.56 km,49.6m,1887,closed,,aXyXw,326,JFkDyv
Hangatiki,485.2 km,39.9m,1887,closed,,dDIplv,68,HUCnsFKL
Otorohonga,494.41 km,37m,1887,2012,Reopened summer 2012,fSEXcB,687,noTsFu
Kiokio,498.45 km,35.4m,1887,1973,,TlYyF,845,EQYayt
Te Kawa,506.88 km,47.8m,1887,1982,,xGjcGhO,378,oQrKJF
Te Mawhai,513 km,35.6m,1887,1958,Te Puhi until 1900,PQsmDmNR,407,dmLiG
Te Awamutu,517.02 km,50m,1880,2005,New Zealand Dairy Board (now Fonterra) rebuilt its freight connection about 2000.,DGpPTE,945,EGxAI
Ngaroto,519.92 km,56m,1880,1954,,pzvNMPJ,872,fDbEO
Lake Road,522.26 km,54m,1880,closed,,gnDGi,623,qqkFPHfx
Ohaupo,527.16 km,52m,1880,1982,,fzwJT,131,JcaViooG
Rukuhia,533.59 km,55m,1880,1970,,wDrkEP,976,KhdEnh
Hamilton,542.52 km,37.5m,1877,Open,Previously Hamilton Junction and Frankton Junction.,UfbKbOBD,48,XmXDtTa
