Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes
Te Rapa Racecourse,547.50 km,33.2m,1920,1980,
Te Rapa,549.25 km,33m,1877,1970,Not to be confused with Te Rapa Marshalling Yards (547 km from Wellington).
Horotiu,553.65 km,23.7m,1877,c1968,Pukete until 1920
Ngaruawahia,559.16 km,20.7m,1877,c1968,Newcastle until 1895.
Taupiri,566.56 km,13.7m,1877,c1968,
Huntly,573.87 km,14m,1877,1998,
Kimihia,578.45 km,14m,1877,1948,
Ohinewai,582.04 km,10m,1877,c1968,
Rangiriri,588.11,9m,1877,1957,
Te Kauwhata,591.62 km,12.2m,1877,1984,
Whangamarino,598.34 km,6.7m,1877,1978,
Amokura,604.53 km,7m,1877,1980,
Mercer,609.16 km,6.4m,1877,1986,
Pokeno,613.96 km,24m,1877,c1968,
Whangarata,617.90 km,59.7m,1877,c1968,
