Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes
Papatoitoi,659.63 km,18.9m,1875,1904,
Papatoetoe,660.42 km,18m,1904,Open,
Middlemore,662.28 km,8.8m,1904,Open,
Mangere,663.02 km,10.66m,1904,2011,
Otahuhu,664.15 km,9.44m,1875,Open,
Westfield,665.5 km,7.6m,1904,Open,
Sylvia Park,667.09 km,7.6m,1931,Open,"Relocated 1 km further north, 2007."
Panmure,669.93 km,17.7m,1931,Open,"Relocated 200m north, 2007."
Tamaki,671.28 km,23.5m,1930,1980,
Glen Innes,672.64 km,22m,1930,Open,
Purewa,675.4 km,18m,1930,1955,
Meadowbank,676.26 km,12m,1954,Open,
Orakei,677.44 km,4.5m,1930,Open,
The Strand,680.76 km,2.7m,1930,Open,Was platform 7 (later platform 4) of 1930-2003 Auckland station. Used for steam services.
Britomart Transport Centre,682 km,4m below sea level,2003,Open,
