Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes
Paekakariki,38.84 km,7m,1886,Open,
Wainui,40.85 km,9m,1886,1900,
Paraparaumu,48.28 km,13.7m,1886,Open,
Otaihunga,51.5 km,21m,1886,1902,
Waikanae,55.31 km,31m,1886,Open,
Hadfield,60 km,39m,1886,1906,
Te Horo,64.77 km,19.2m,1886,1965,
Hautere,67.6 km,15.2m,1886,1900,
Otaki,70.28 km,14.6m,1886,Open,
Manakau,79.3 km,30.5m,1886,1967,"Known as \Manukau\"" until 1905."""
Ohau,84.95 km,30.7m,1886,c.1970,
Levin,90.3 km,36.5m,1886,Open,"Known as \Weraroa\"" 1886-1894."""
Queen Street,91.37 km,36.5m,1956,c.1970,
Levin,91.5 km,36.5m,1886,1894,
Koputaroa,99.23 km,8.5m,1886,c.1970,Kereru until 1906.
Shannon,106.57 km,12.2m,1886,Open,
