Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes,Noise_Field_1
Tuakau,621.41 km,37m,1875,1986,,prHNYwD
Buckland,625.6 km,58m,1875,closed,,aEWtbtRZ
Pukekohe,628.86 km,60.65m,1875,open,,dPFOI
Paerata,633.29 km,45.1m,1875,1980,Paerata Junction from 1917.,dkjcC
Runciman,638.37 km,8m,1875,1939,,xRfcUFM
Drury,640 km,9m,1875,1980,,fiVQqMWH
Opaheke,642.9 km,14.5m,1875,1955,Hunua 1877-1939.,ClDqPNmP
Papakura,647.02 km,19.2m,1875,Open,,XZSOsETg
Tironui,648.95 km,15.5m,1904,1980,,KolfhA
Takanini,650.64 km,15.2m,1875,Open,,ZUxCd
Te Mahia,652.24 km,14.9m,1904,Open,,mTkawoxG
Manurewa,653.1 km,17m,1875,Open,,Llfks
Homai,655.7 km,30.78m,1904,Open,,mznNEbc
Wiri,657.6 km,22.25m,1913,2005,,BsAbkF
Puhinui,658.92 km,19.8m,1904,Open,,yWFhu
