Station,Distance from Wellington,Height above sea level (m),Opened,Closed,Notes
Mataroa,260.88 km,530m,1907,closed,
Ngaurukehu,270.25 km,640m,1908,closed,
Turangarere,274.5 km,702m,1912,1972,
Hihitahi,278.2 km,741m,1908,closed,"Turangarere until 1912. \Hihitahi\"" is a sound-based local Maori word for \""locomotive\""."""
Waiouru,290.3 km,813.8m,1908,2005,Highest railway station in New Zealand.
Tangiwai,299.49 km,699.5m,1909,closed,"Nearest station to the Tangiwai disaster, December 24, 1953."
Karioi,306.94 km,630.3m,1909,closed,
Rangataua,312.79 km,670m,1909,closed,
Ohakune,317.09 km,618.4m,1908,open,Ohakune Junction in working timetables 1917-1968.
Horopito,326.91 km,752m,1909,1981,"Used as location for Smash Palace movie, 1981"
Pokaka,332.57 km,811m,1909,closed,
Erua,340.13 km,742.5m,1908,closed,
National Park,346.83 km,806.8m,1908,open,Waimarino until 1949.
Raurimu,358.31 km,589m,1908,closed,
Oio,366.25 km,520m,1908,closed,"Known to WW2 American servicemen as \Zero-10\"". Shortest station name in the North Island"
