Season,Head Coach,Overall Record,Conference Record,Random_Column_1
1997,Bill Manlove,1-8,,5yq9j
1998,Bill Manlove,3-6,,5G3O4GRX
1999,Bill Manlove,4-6,3-5 (T-6th/9),uPWUTX
2000,Bill Manlove,7-4,4-3 (4th/8),QXUGK
2001,Bill Manlove,5-4,2-4 (T-5th/8),89iBmq
2002,Archie Stalcup,2-9,2-6 (T-7th/9),GRffSirF
2003,Archie Stalcup,3-8,2-3 (T-3rd/6),lOZzR2Mb
2004,Phil Longo,3-7,1-3 (T-3rd/5),MhEucsY2
2005,Phil Longo,4-7,2-2 (T-3rd/5),y7ar6oN2
2006,Tim Miller,3-7,1-3 (T-4th/5),J08FykGg
2007,Tim Miller,0-10,0-3 (4th/4),iAEXc3
