Player,-1967,03.30,03.31,04.04,10.14,1968,Total,Random_Column_1,Noise_Field_2
Shigeo Yaegashi,41(11),O,O,O,O,4(0),45(11),P0wWPIN0,GbcLsgJ
Mitsuo Kamata,37(2),O,-,O,O,3(0),40(2),J6VMW,sIihb
Masakatsu Miyamoto,36(1),-,O,-,O,2(0),38(1),6LpoDFt,rraPYeCo
Masashi Watanabe,34(11),-,O,O,-,2(0),36(11),lUGKo,GOxiJLl
Teruki Miyamoto,33(15),O,O,O,O,4(0),37(15),mMbxD4ak,RegJq
Ryuichi Sugiyama,31(11),O,O,O(1),O,4(1),35(12),oogZT,wCHXu
Hiroshi Katayama,26(0),O,-,O,O,3(0),29(0),LDiBrPn,TtahaZF
Ryozo Suzuki,22(0),O,-,O,-,2(0),24(0),9tx8impg,curev
Kunishige Kamamoto,17(21),O(2),O,O(2),O(3),4(7),21(28),CRRPac,DtvTPH
Aritatsu Ogi,16(5),O,-,O,O,3(0),19(5),5iiNmUi,VmQrbe
