No.,Name,Term of office,Term of office,Political party,Ministry
–,James Armstrong Richardson (acting),"April 30, 1969","May 5, 1969",Liberal,20 (Trudeau)
11,Don Jamieson,"May 5, 1969","November 27, 1972",Liberal,20 (Trudeau)
12,Jean Marchand,"November 27, 1972","September 26, 1975",Liberal,20 (Trudeau)
13,Otto Lang,"September 26, 1975","June 4, 1979",Liberal,20 (Trudeau)
14,Don Mazankowski,"June 4, 1979","March 3, 1980",Progressive Conservative,21 (Clark)
15,Jean-Luc Pépin,"March 3, 1980","August 12, 1983",Liberal,22 (Trudeau)
16,Lloyd Axworthy,"August 12, 1983","June 29, 1984",Liberal,22 (Trudeau)
16,Lloyd Axworthy,"June 30, 1984","September 16, 1984",Liberal,23 (Turner)
(14),Don Mazankowski (2nd time),"September 17, 1984","June 29, 1986",Progressive Conservative,24 (Mulroney)
17,John Crosbie,"June 30, 1986","March 30, 1988",Progressive Conservative,24 (Mulroney)
18,Benoît Bouchard,"March 31, 1988","February 22, 1990",Progressive Conservative,24 (Mulroney)
19,Doug Lewis,"February 23, 1990","April 20, 1991",Progressive Conservative,24 (Mulroney)
