No.,Name,Term of office,Term of office,Political party,Ministry,Random_Column_1
20,Jean Corbeil,"April 21, 1991","June 24, 1993",Progressive Conservative,24 (Mulroney),IHeqh5
20,Jean Corbeil,"June 25, 1993","November 3, 1993",Progressive Conservative,25 (Campbell),OnSMvg7I
21,Doug Young,"November 4, 1993","January 24, 1996",Liberal,26 (Chrétien),vBIHlC
22,David Anderson,"January 25, 1996","June 10, 1997",Liberal,26 (Chrétien),r0GtyJU
23,David Collenette,"June 11, 1997","December 11, 2003",Liberal,26 (Chrétien),HQMfb94Y
24,Tony Valeri,"December 12, 2003","July 19, 2004",Liberal,27 (Martin),ulpTdT9
25,Jean Lapierre,"July 20, 2004","February 5, 2006",Liberal,27 (Martin),KCnmr4w
26,Lawrence Cannon,"February 6, 2006","October 29, 2008",Conservative,28 (Harper),CPC4O
27,John Baird,"October 30, 2008","August 6, 2010",Conservative,28 (Harper),w15V7
28,Chuck Strahl,"August 6, 2010","May 18, 2011",Conservative,28 (Harper),mekLW
29,Denis Lebel,"May 18, 2011","July 15, 2013",Conservative,28 (Harper),uw4Hgq
30,Lisa Raitt,"July 15, 2013",Incumbent,Conservative,28 (Harper),7uVBHf
