Year,Round,Against,Score,Scorers
1958,Final,Sweden,5–2,"Vavá (2), Pelé (2), Zagallo"
1962,Group C,Mexico,2–0,"Pelé, Zagallo"
1962,Group C,Czechoslovakia,0–0,
1962,Group C,Spain,2–1,Amarildo (2)
1962,Quarter-Final,England,3–1,"Garrincha (2), Vavá"
1962,Semi-Final,Chile,4–2,"Garrincha (2), Vavá (2)"
1962,Final,Czechoslovakia,3–1,"Amarildo, Zito, Vavá"
1966,Group C,Bulgaria,2–1,"Pelé, Garrincha"
1966,Group C,Hungary,1–3,Tostão
1966,Group C,Portugal,1–3,Rildo
1970,Group C,Czechoslovakia,4–1,"Rivelino, Pelé, Jairzinho (2)"
