Year,Round,Against,Score,Scorers
1974,Bronze Final,Poland,0–1,
1978,Group C,Sweden,1–1,Reinaldo
1978,Group C,Spain,0–0,
1978,Group C,Austria,1–0,Roberto Dinamite
1978,Group B Round 2,Peru,3–0,"Dirceu (2), Zico"
1978,Group B Round 2,Argentina,0–0,
1978,Group B Round 2,Poland,3–1,"Nelinho, Roberto Dinamite (2)"
1978,Bronze Final,Italy,2–1,"Nelinho, Dirceu"
1982,Group F,Soviet Union,2–1,"Sócrates, Éder"
1982,Group F,Scotland,4–1,"Zico, Oscar, Éder, Falcão"
1982,Group F,New Zealand,4–0,"Zico (2), Falcão, Serginho"
