Year,Round,Against,Score,Scorers
1994,Group B,Russia,2–0,"Romário, Raí"
1994,Group B,Cameroon,3–0,"Romário, Márcio Santos, Bebeto"
1994,Group B,Sweden,1–1,Romário
1994,Round of 16,United States,1–0,Bebeto
1994,Quarter-Final,Netherlands,3–2,"Romário, Bebeto, Branco"
1994,Semi-Final,Sweden,1–0,Romário
1994,Final,Italy,0–0 (AET),
1998,Group A,Scotland,2–1,"César Sampaio, Boyd (OG)"
1998,Group A,Morocco,3–0,"Ronaldo, Rivaldo, Bebeto"
1998,Group A,Norway,1–2,Bebeto
1998,Round of 16,Chile,4–1,"Ronaldo (2), César Sampaio (2)"
