Year,Round,Against,Score,Scorers
1950,Final Round,Sweden,7–1,"Ademir (4), Chico (2), Maneca"
1950,Final Round,Spain,6–1,"Ademir (2), Jair, Chico (2), Zizinho"
1950,Final Round,Uruguay,1–2,Friaça
1954,Group A,Mexico,5–0,"Baltazar, Didi, Pinga (2), Julinho"
1954,Group A,Yugoslavia,1–1 (AET),Didi
1954,Quarter-Final,Hungary,2–4,"Djalma Santos, Julinho"
1958,Group D,Austria,3–0,"Mazzola (2), Nilton Santos"
1958,Group D,England,0–0,
1958,Group D,Soviet Union,2–0,Vavá (2)
1958,Quarter-Final,Wales,1–0,Pelé
1958,Semi-Final,France,5–2,"Vavá, Didi, Pelé (3)"
