Year,Round,Against,Score,Scorers
1982,Group C Round 2,Argentina,3–1,"Zico, Serginho, Júnior"
1982,Group C Round 2,Italy,2–3,"Sócrates, Falcão"
1986,Group D,Spain,1–0,Sócrates
1986,Group D,Algeria,1–0,Careca
1986,Group D,Northern Ireland,3–0,"Careca (2), Josimar"
1986,Round of 16,Poland,4–0,"Sócrates, Josimar, Edinho, Careca"
1986,Quarter-Final,France,1–1 (AET),Careca
1990,Group C,Sweden,2–1,Careca (2)
1990,Group C,Costa Rica,1–0,Müller
1990,Group C,Scotland,1–0,Müller
1990,Round of 16,Argentina,0–1,
