Year,Round,Against,Score,Scorers,Noise_Field_1
1970,Group C,England,1–0,Jairzinho,EWdaSE
1970,Group C,Romania,3–2,"Pelé (2), Jairzinho",dQJXwNp
1970,Quarter-Final,Peru,4–2,"Rivelino, Tostão (2), Jairzinho",LNkdPUt
1970,Semi-Final,Uruguay,3–1,"Clodoaldo, Jairzinho, Rivelino",aNcHCy
1970,Final,Italy,4–1,"Pelé, Gérson, Jairzinho, Carlos Alberto",FdHLIw
1974,Group B,Yugoslavia,0–0,,YKVwXdWU
1974,Group B,Scotland,0–0,,ZfykvIB
1974,Group B,Zaire,3–0,"Jairzinho, Rivelino, Valdomiro",cxftt
1974,Group A Round 2,East Germany,1–0,Rivelino,esmBrJLh
1974,Group A Round 2,Argentina,2–1,"Rivelino, Jairzinho",eXsayQJu
1974,Group A Round 2,Netherlands,0–2,,QSMebC
