Outcome,No.,Date,Tournament,Surface,Opponent,Score,Unused_1,Irrelevant_2
Runner-up,1.,23 August 2004,"La Paz, Bolivia",Clay,Jenifer Widjaja,"6–3, 4–6, 0–6",,H2lT9
Runner-up,2.,6 June 2005,"Santa Tecla, El Salvador",Clay,Andrea Benítez,"3–6, 0–6",,k3D6Kp
Runner-up,2.,22 August 2005,"Bogotá, Colombia",Clay,Carla Tiene,"4–6, 0–6",,oW1jkDpi
Runner-up,4.,15 May 2006,"Ciudad Obregón, Mexico",Hard,Ellah Nze,"6–4, 3–6, 3–6",,vvqEXe
Winner,1.,5 June 2006,"Xalapa, Mexico",Hard,María Irigoyen,"6–1, 3–6, 6–4",,moBZRWA
Winner,2.,7 September 2009,"Mazatlán, Mexico",Hard,Fernanda Hermenegildo,"6–1, 6–2",,oQ5Kf72
Winner,3.,2 November 2009,"Bogotá, Colombia",Clay,Yuliana Lizarazo,"7–6(7–5), 6–4",,LIx3Ybw
Runner-up,5.,16 November 2009,"Asunción, Paraguay",Clay,Paula Ormaechea,"6–4, 4–6, 2–6",,EWWPrEn
Winner,4.,8 November 2010,"Bogotá, Colombia",Clay,Patricia Kú Flores,"6–1, 7–5",,jarXX7c1
Winner,5.,29 November 2010,"Santiago, Chile",Clay,Verónica Cepede Royg,"6–2, 6–2",,OgPzQPJh
Winner,6.,18 July 2011,"Ribeirão Preto, Brazil",Clay,Vivian Segnini,"6–2, 6–2",,iAl97T
