Outcome,No.,Date,Tournament,Surface,Opponent,Score
Runner-up,6.,8 August 2011,"Santa Cruz de la Sierra, Bolivia",Clay,María Irigoyen,"2–6, 3–6"
Winner,7.,15 August 2011,"La Paz, Bolivia",Clay,María Irigoyen,"6–0, 7–6(7–1)"
Runner-up,7.,3 October 2011,"Yerevan, Armenia",Clay,Julia Cohen,"6–7(6–8), 2–6"
Runner-up,8.,19 March 2012,"Bangalore, India",Hard,Donna Vekić,"2–6, 4–6"
Runner-up,9.,8 May 2012,"Brasília, Brazil",Clay,Gabriela Paz,"3–6, 3–6"
Winner,8.,19 November 2012,"Barranquilla, Colombia",Clay,Karolina Nowak,"7–6(7–4), 6–0"
Winner,9.,21 October 2013,"Bogotá, Colombia",Hard,Anna Katalina Alzate Esmurzaeva,"6–3, 6–3"
Winner,10.,11 November 2013,"Lima, Peru",Clay,Patricia Kú Flores,"7–5, 6–7(4–7), 6–2"
Winner,11.,25 November 2013,"Bogotá, Colombia",Clay,Naomi Totka,"6–1, 6–1"
Runner-up,10.,2 December 2013,"Barranquilla, Colombia",Clay,María Fernanda Herazo,"4–6, 2–6"
